Price,Close,High,Low,Open,Volume,Stock,Close.1,High.1,Low.1,Open.1,Volume.1,Close.2,High.2,Low.2,Open.2,Volume.2,Close.3,High.3,Low.3,Open.3,Volume.3,Close.4,High.4,Low.4,Open.4,Volume.4,RSI,MA20,MA50,Daily_Return,Volatility,Momentum,Return
2021-06-09,986.2129516601562,1007.0707400246994,978.4819302316137,1006.1639031267835,11409161.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,65.66654008908418,936.8139129638672,907.9666235351563,-0.017881327488396548,0.017433867869143534,92.93072509765625,-0.011924999773743505
2021-06-10,989.8404541015624,1011.1517216348074,987.3692305170946,994.5561020859403,14155653.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,66.48879942853836,942.9318359375,909.7037194824219,0.003678214157804005,0.01701663197625595,93.81500244140614,-0.012060774157154897
2021-06-11,1007.0098876953124,1013.766875641892,991.9717457006176,993.24581569042,13762778.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,70.13459707761996,949.360708618164,911.7551843261718,0.017345657598258013,0.01713471711049364,57.162048339843636,0.013862369589776158
2021-06-14,1021.45654296875,1027.5309418058741,998.7741616955363,1007.8516997013584,20332436.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,72.8145947091104,955.9893402099609,913.7813537597656,0.01434609078814586,0.017180309938298464,41.909057617187614,0.011370370464376611
2021-06-15,1023.7769165039062,1035.1067016223355,1019.363286583014,1028.7820874114148,15174215.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,73.23011083405648,962.108251953125,916.0915295410156,0.002271632162061721,0.017131105481232888,40.329772949218636,0.0195266899428419
2021-06-16,1006.3045654296876,1022.434740881434,1003.6882448935254,1021.456501659872,10797349.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,65.15451271028064,967.1472351074219,917.8822216796875,-0.017066560881139003,0.01792562413137975,8.189086914062614,0.02037249027779442
2021-06-17,1008.1473999023438,1016.9519142263862,991.8807422543711,1001.0264608448158,15745975.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,65.58558005521684,972.5424835205079,919.9750268554687,0.0018312889913891794,0.017753025006791826,6.222961425781364,0.018494845027725137
2021-06-18,1012.6974487304688,1016.9518504435479,993.9054594499104,1012.6292078814683,29369026.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,66.6815478995346,977.7764190673828,922.2341027832031,0.0045132773526626035,0.017742556417567456,19.45623779296875,0.005647969403928199
2021-06-21,1017.9756469726562,1022.6394940703871,1001.0947614747922,1002.6190479059233,12186448.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,67.95638074642812,983.6574157714844,924.4305200195313,0.005212018899429793,0.01743324613625059,8.002868652343864,-0.0034077768849342105
2021-06-22,1012.742919921875,1028.7821668704214,1009.8308290128952,1025.596992217332,12871913.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,65.28929207381813,989.7868804931641,926.4996105957031,-0.00514032635883066,0.017156491755295687,8.574096679687386,-0.010777735270405597
2021-06-23,1003.4608154296876,1024.0500559302593,1001.7999870984139,1023.777092514532,16653951.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,60.73569817053809,995.2958099365235,928.5943579101563,-0.0091653116596494,0.017507545524741187,17.247863769531364,-0.0028259337159876052
2021-06-24,979.8683471679688,1007.669572262773,973.7257080355693,1004.1432535343797,91461975.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,50.99949133329734,999.4879547119141,930.8602209472656,-0.023511100681710695,0.01870747752600689,-9.972106933593636,-0.028050513979517633
2021-06-25,957.5499877929688,979.868355835384,946.9254774381874,979.868355835384,55355022.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,43.83989071999868,999.8730621337891,932.4924499511719,-0.022776895936586716,0.014485268371953202,-49.459899902343636,-0.05445600856073407
2021-06-28,949.155029296875,967.5830068351754,946.8799733132387,965.5354805207484,20277042.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,41.480972668422844,998.3534393310547,933.8434216308593,-0.008767122973332264,0.012661579911056549,-72.301513671875,-0.06760536745691892
2021-06-29,949.9740600585938,959.6203313338768,948.2905450727716,950.7475767024226,27144063.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,41.80994434418149,996.67978515625,935.3214123535156,0.0008629051487252237,0.012609649809911002,-73.8028564453125,-0.061979065593589455
2021-06-30,960.3711547851562,965.8312654969786,951.4529057551116,953.8189497184267,19762858.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,45.962834453559246,994.7925689697265,937.2830334472657,0.010944609083243018,0.012363907547333448,-45.933410644531364,-0.04294104959751732
2021-07-01,954.592529296875,966.0587979305755,953.2502184775107,963.715500911565,12534407.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,44.07988213471761,992.4259735107422,939.1340661621093,-0.006017075231267155,0.012322057563354458,-53.55487060546875,-0.025795116195095336
2021-07-02,968.7433471679688,970.4951632609226,952.317400936898,954.1602048328318,14086620.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,49.53228386775995,991.2010803222656,941.2205053710937,0.014823935277931355,0.012798068314666533,-43.9541015625,0.011689582285724143
2021-07-05,978.3668212890624,979.8911076185376,969.8580780772137,972.1103871470752,11702287.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,52.89595116141065,989.6207824707031,943.5180041503907,0.009933976991147286,0.012372245733358473,-39.608825683593864,0.030776628780892823
2021-07-06,966.8095703125,977.775345876362,964.7165499262375,975.9780960314433,10070124.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,48.69817379874988,987.7528198242187,945.2805603027343,-0.011812799376551775,0.012554448681165988,-45.933349609375,0.017722073645745517
2021-07-07,960.09814453125,968.1518891821571,954.6152867923088,968.1518891821571,10454892.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,46.395574046453845,986.4470794677734,946.4482019042969,-0.006941828036601594,0.012045801318581297,-43.362670898437614,-0.0002842757745752378
2021-07-08,952.1581420898438,963.2377120648708,946.880007204719,963.2377120648708,11185460.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,43.7594367300998,984.5629638671875,947.3785998535157,-0.008269990403202754,0.012083612232710898,-27.710205078125,-0.0025501846414243134
2021-07-09,942.4208984375,951.7486525291566,940.1003484340649,950.0650773140198,9037675.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,40.70494644093297,981.3335144042969,947.8716662597657,-0.010226498332484901,0.011325061986130936,-15.12908935546875,-0.027171746580164857
2021-07-12,948.2905883789062,956.2077909534229,943.9224517127791,946.3112426024383,8585292.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,43.27535760670432,977.6752166748047,948.7501049804688,0.006228310462064179,0.010794346697434884,-0.86444091796875,-0.030741264171784466
2021-07-13,955.3887939453124,956.9130803745411,950.0878516924769,955.5252756516485,6717133.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,46.306616304159895,974.255810546875,950.0919909667969,0.007485264172599759,0.011005855197145465,5.414733886718636,-0.011812849932273717
2021-07-14,949.155029296875,958.6420115450965,946.9937080592862,955.6844267309463,8532544.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,44.078857946116685,971.3983337402344,951.6941650390625,-0.006524845893047249,0.01055993881292291,-11.21612548828125,-0.011397913116182323
