Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,902.9856567382812,931.3477881428614,900.0610147041692,931.3477881428614,22001648.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-03-26,904.4366455078125,913.0745041101142,894.937285828174,912.3036747318539,20180202.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-03-30,920.1480712890625,929.035337372419,903.0310289019577,910.4899757979094,20441701.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-03-31,908.2681274414062,929.4887232737643,906.40905776399,915.0243084377211,16250796.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-01,916.7699584960938,920.465429845356,908.2907755247039,915.0242884490825,11723312.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-05,903.5071411132812,918.1982951252521,889.677488179083,918.1756272004715,14875099.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-06,899.74365234375,909.1070043382359,892.8061280725167,908.6762538058488,14009194.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-07,908.15478515625,928.1284651595439,903.8245518752842,906.8625335398098,24266353.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-08,909.2883911132812,916.8380096725809,903.6885139889864,911.8502864734401,15369188.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-09,898.7234497070312,909.7418004729616,897.7938848658578,906.1597285641935,14037885.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-12,866.5751953125,889.3601188333347,861.632807894605,888.271878488836,20901482.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-13,875.9385375976562,879.9287521472845,869.6131669055775,872.4017415275625,19411189.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
2021-04-15,881.6064453125,889.1787320455074,867.4140446856474,873.4446725605377,19723716.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,
